"Date submitted";"Identification";"Please enter your Firm's Name";"Please follow these steps:
1. Make a Google Drive Folder
2. Upload Media (High Resolution Images and Videos) of all your products you wish to be included in the Swavlamban 2025 Movie.
3. The media can include following:-
(a) Development stages of prototype
(b) Visits by TDAC/ Nodal Officers/ DIO
(c) Conduct of trials / range tests/ lab demos
(d) Displays during seminars/ exhibitions
4. Set the file share option to : ""General access:
Anyone on the internet with the link can view""
5. Paste the link below."
"11/11/2025, 09:15";"WWvdOC3JXbaY41egPe5P";"Kalam Labs";"https://drive.google.com/drive/folders/1gui7CziVmItN1v-4DFDHitppLlJiUqLz?usp=sharing"
"10/11/2025, 04:10";"R9vusNmOStmATGjLbH67";"SpaceFields Private Limited";"https://drive.google.com/drive/folders/1U9VzFxB5i1V-yrhB1P3xJK-0CJ4EJVxC?usp=sharing"
"08/11/2025, 13:52";"zpSZ78v0rzZIJDx8YSWE";"Unistring Tech Solutions Pvt. Ltd.";"https://drive.google.com/file/d/1yqe2iQncqikAWrJhy_FkN4zlVUTU6Zli/view?usp=sharing"
"06/11/2025, 08:15";"jglrcFDXk9zRAgaFyFHw";"M/s Almerio Defence and Aerospace LLP";"https://drive.google.com/drive/folders/1nkRfKyHbbV_Z3OZwsA5wEnqToUqaGapa?usp=sharing"
"05/11/2025, 13:31";"0PQ8nbeHeSEtObOquo3y";"Astrome Technologies Pvt Ltd";"https://drive.google.com/drive/folders/1Vap32way_FXBg_ox1cgMYGIJyXEfTP_o?usp=sharing"
"04/11/2025, 10:33";"6kRog9ScZsb6BqCLjuwh";"ALMERIO DEFENCE AND AEROSPACE LLP";"https://drive.google.com/drive/folders/1wxaZlpy9uD0UkANrTcDeInl3h2wd4wk0?usp=sharing"
"04/11/2025, 06:50";"3ynHnPBxRnrybTg8kXUo";"M/S Radome Technologies and Services Private Limited";"https://radometech-my.sharepoint.com/:f:/g/personal/sowmya_m_eyresai_com/EmWoyKZx1pBPnZFjYfqs908Bg13wxflIn1-Bhg5bajbl6w?e=byPmMS"
"30/10/2025, 09:14";"3s7oZQinnIJYytLmz4Xd";"Thirdi Semitech Private Limited";"https://drive.google.com/file/d/1AM471LqQx5RMCs9QN3vedQHPqZlQkChx/view?usp=sharing"
"30/10/2025, 06:55";"dogK6X8lGMk6xmW3poCH";"Aikairos Pvt Ltd";"https://drive.google.com/file/d/17UWg5459tbwn5KZJYgrWqkxsnwt-hCR0/view?usp=sharing"
"29/10/2025, 09:36";"3H6cIXuFpEGLXWQQkBvK";"Almerio Defence and Aerospace LLP";"https://drive.google.com/drive/folders/1km_rup2mlCl6naNr7wKfoguj7nmOOFx6?usp=drive_link"
"25/10/2025, 09:02";"awha0vDmaWzNJ2VP8KEN";"Xinfiniti Aerospace Pvt Ltd";"https://drive.google.com/file/d/13vwIF0LSAyFhWsD4EqObhqRS5vJzKxj-/view?usp=drive_link"
"23/10/2025, 06:38";"oyHnTpJz4UYbRHHkXUpm";"Scytale Alpha Pvt. Ltd.";"https://drive.google.com/drive/folders/1ShFt1o60ma6Yxq4BWmDx3KUe11Ko-JEc?usp=sharing"
"15/10/2025, 05:10";"Vp3UjkvFrFd0CtNAF95X";"Resonating Mindz Pvt.Ltd";"https://drive.google.com/drive/folders/1-b1GUaTJ9DWm2AkCrqYV7_4hkmkiLqwb?usp=drive_link"
"10/10/2025, 17:26";"Y8PrzPtPlKaviREqD3SI";"CORATIA TECHNOLOGIES PVT. LTD.";"https://drive.google.com/drive/u/1/folders/1lYLOZD0tyndIaWNg_MRl13ZaZC0HDRp4"
"10/10/2025, 14:37";"1W6T0UAvsPsKcRVCZCsE";"Ci4 - Autonomous Defense";"https://drive.google.com/drive/folders/1ba1KtL_IsLqGKPM_r1TdIgRSbMlHRjrt?usp=sharing"
"10/10/2025, 14:05";"dg6R5y68Dc4WPB4vv9Df";"ASP Innovative Solutions";"https://drive.google.com/drive/folders/1MvuA0pFtOj4bpVb-JEBjECIHLdCf4iQ0"
"10/10/2025, 13:28";"T8n7T4npiodyS4UJE5Pv";"Azista Industries Private Limited";"https://drive.google.com/drive/folders/1DCOjnu8ORodUJBo8OjWzncloBqXTnN6m?usp=sharing"
"10/10/2025, 12:33";"b1FE2KOod5N89XDXC6KQ";"AETHRONE AEROSPACE";"https://drive.google.com/drive/folders/1STrglGiV-AIM6WmKwgCw2BBZyWSk0JTP?usp=sharing"
"09/10/2025, 10:52";"p3qU4ck9cD1XdiJxs0VJ";"TARDID Technologies Pvt Ltd";"https://drive.google.com/file/d/183O-WakKyT2-7gMCoKZjRA2WE6Q6xMSS/view?usp=sharing"
"09/10/2025, 09:35";"nNJdAksALGlie2RC3ASr";"Planys Technologies Pvt Ltd";"https://drive.google.com/drive/folders/16J2DIbmStBITkyuPpCO5oo0G_YdO3K_N?usp=drive_link"
"08/10/2025, 19:32";"vp0AXkUIGKMt20vL66VJ";"Combat Robotics India Private Limited";"https://drive.google.com/file/d/1ZgWRKndFR8eYlFBnsBQvaUDk4LqouWKY/view?usp=sharing"
"08/10/2025, 12:03";"W9Y7WfY3nBd1rq8m46Zf";"EON SPACE LABS PRIVATE LIMITED";"https://drive.google.com/drive/folders/1DDYPD1aOpWm927SOlhEiBQNPFU-fvXoZ?usp=sharing"
"08/10/2025, 10:24";"acRyjhPKbnKa1imB7Kw3";"Guardinger Advanced Technologies Private Limited";"https://drive.google.com/drive/folders/1sUfhwzNpCn0jsDcWO1bg7YIsZ3XYu7PM?usp=drive_link"
"07/10/2025, 08:59";"QzKUpbeyNIMxbvDF40hK";"Kalbhorz Electric Pvt Ltd";"https://drive.google.com/drive/folders/1JlJTOX2ukB7m3-XLTHUmZb6Y8DE85r0S?usp=sharing"
"07/10/2025, 08:15";"yUOxhF4mQ3NiXPBMl9uw";"Medjay Technologies Pvt Ltd";"https://drive.google.com/drive/folders/1MTJnPZrO8ei85YeUwEtUjhWj32P-swwO?usp=drive_link"
"03/10/2025, 11:31";"J5U1J0FIcCj2g1ppQ78l";"Adisan Systems LLP";"https://drive.google.com/drive/folders/17bRE-GSPsBk1k17LSovD8xFAuK-eStAe?usp=drive_link"
"03/10/2025, 07:31";"ePZpAoAuhTAjHu8pukBk";"(EyeROV) IROV Technologies Private Limited";"https://drive.google.com/drive/folders/14lGhXC43Is-XuCX5ts9Z88gSQ5OZLv0r?usp=sharing"
"27/09/2025, 07:53";"QJoyf6iItgaw3yF9OHpH";"Saif Automations Services LLP";"https://drive.google.com/drive/folders/1qSd8EdqmdYVJBxlb_y1wZA6iuCYlVXkL?usp=sharing"
